aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,brand_id,colour,product_short_description,specifications,condition,product_model,model_number,dimensions,keywords,promotional_text,product_type,commission_group,merchant_product_category_path,merchant_product_second_category,merchant_product_third_category,rrp_price,saving,savings_percent,base_price,base_price_amount,base_price_text,product_price_old,delivery_restrictions,delivery_weight,warranty,terms_of_contract,delivery_time,in_stock,stock_quantity,valid_from,valid_to,is_for_sale,web_offer,pre_order,stock_status,size_stock_status,size_stock_amount,merchant_thumb_url,large_image,alternate_image,aw_thumb_url,alternate_image_two,alternate_image_three,alternate_image_four,reviews,average_rating,rating,number_available,custom_1,custom_2,custom_3,custom_4,custom_5,custom_6,custom_7,custom_8,custom_9,ean,isbn,upc,mpn,parent_product_id,product_GTIN,basket_link
https://www.awin1.com/pclick.php?p=41585836136&a=2861861&m=57823,"The Golden Girl - Custom Pet Canvas - 8"" x 10"" / Unframed",41585836136,4565205090390,https://crownandpaw.com/cdn/shop/products/TheGoldenGirl4_500x.jpg?v=1729251205,Custom Pet Canvas,Novelty Gifts,46.86,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FTheGoldenGirl4_500x.jpg%3Fv%3D1729251205&feedId=103192&k=44a6907b97a1ba5675817d0f72b86bf6626e78d5,USD,,,https://crownandpaw.com/products/the-golden-girl-custom-pet-canvas,,,USD46.86,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FTheGoldenGirl4_500x.jpg%3Fv%3D1729251205&feedId=103192&k=44a6907b97a1ba5675817d0f72b86bf6626e78d5,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836137&a=2861861&m=57823,"The Queen - Custom Pet Canvas - 8"" x 10"" / Unframed",41585836137,4565211250774,https://crownandpaw.com/cdn/shop/products/TheQueen3_500x.jpg?v=1682344262,Custom Pet Canvas,Novelty Gifts,46.86,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FTheQueen3_500x.jpg%3Fv%3D1682344262&feedId=103192&k=bea11750af75e647235d9038ca34a7a97b20e509,USD,,,https://crownandpaw.com/products/the-queen-custom-pet-canvas,,,USD46.86,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FTheQueen3_500x.jpg%3Fv%3D1682344262&feedId=103192&k=bea11750af75e647235d9038ca34a7a97b20e509,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836142&a=2861861&m=57823,"The Sapphire Queen - Custom Pet Canvas - 8"" x 10"" / Unframed",41585836142,4565211709526,https://crownandpaw.com/cdn/shop/files/iggy.coco_f01a3c16-73e3-4818-9a87-a0eb6a7fcfeb_500x.jpg?v=1691861566,Custom Pet Canvas,Novelty Gifts,46.86,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2Figgy.coco_f01a3c16-73e3-4818-9a87-a0eb6a7fcfeb_500x.jpg%3Fv%3D1691861566&feedId=103192&k=b3c994b7cb527a7f0540a0167e65938b70b73008,USD,,,https://crownandpaw.com/products/the-sapphire-queen-custom-pet-canvas,,,USD46.86,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2Figgy.coco_f01a3c16-73e3-4818-9a87-a0eb6a7fcfeb_500x.jpg%3Fv%3D1691861566&feedId=103192&k=b3c994b7cb527a7f0540a0167e65938b70b73008,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836140&a=2861861&m=57823,"The Young King - Custom Pet Canvas - 8"" x 10"" / Unframed",41585836140,4565211906134,https://crownandpaw.com/cdn/shop/products/CrownandPawTheYoungKing_500x.jpg?v=1693948529,Custom Pet Canvas,Novelty Gifts,46.86,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FCrownandPawTheYoungKing_500x.jpg%3Fv%3D1693948529&feedId=103192&k=533f3fdb9fe4a53fac5207475b0b26ecd7d8fc59,USD,,,https://crownandpaw.com/products/the-young-king-custom-pet-canvas,,,USD46.86,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2FCrownandPawTheYoungKing_500x.jpg%3Fv%3D1693948529&feedId=103192&k=533f3fdb9fe4a53fac5207475b0b26ecd7d8fc59,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836133&a=2861861&m=57823,"The Queen of Roses - Custom Pet Canvas - 8"" x 10"" / Unframed",41585836133,4565293301846,https://crownandpaw.com/cdn/shop/products/talk_to_the_paw_98157855_566356017590475_725091166907302331_n_500x.jpg?v=1682496531,Custom Pet Canvas,Novelty Gifts,46.86,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2Ftalk_to_the_paw_98157855_566356017590475_725091166907302331_n_500x.jpg%3Fv%3D1682496531&feedId=103192&k=39922b9e2d29200a73c0c6eab0c1ea826f51e8d0,USD,,,https://crownandpaw.com/products/the-queen-of-roses-custom-pet-canvas,,,USD46.86,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2Ftalk_to_the_paw_98157855_566356017590475_725091166907302331_n_500x.jpg%3Fv%3D1682496531&feedId=103192&k=39922b9e2d29200a73c0c6eab0c1ea826f51e8d0,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836147&a=2861861&m=57823,"Step Brothers - Custom Pet Canvas - 16"" x 24"" / Unframed",41585836147,4765924589654,https://crownandpaw.com/cdn/shop/products/thegoldenlifeof2_500x.jpg?v=1682462875,Custom Pet Canvas,Novelty Gifts,73.66,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2Fthegoldenlifeof2_500x.jpg%3Fv%3D1682462875&feedId=103192&k=82502ddcc9d9013ef24a2115c6af5b873006d360,USD,,,https://crownandpaw.com/products/the-step-brothers-custom-pet-canvas,,,USD73.66,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Fproducts%2Fthegoldenlifeof2_500x.jpg%3Fv%3D1682462875&feedId=103192&k=82502ddcc9d9013ef24a2115c6af5b873006d360,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836131&a=2861861&m=57823,"Modern Pet Portrait - One Pet - 8"" x 10"" / Black / White",41585836131,6869132181590,https://crownandpaw.com/cdn/shop/files/ModernPetPortraitfromPhotos5.jpg?v=1744380319,Modern Pet Portrait Framed Poster,Novelty Gifts,59.95,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2FModernPetPortraitfromPhotos5.jpg%3Fv%3D1744380319&feedId=103192&k=714a282a748ecf989dc0830fa98fac2d282ee75e,USD,,,https://crownandpaw.com/products/modern-pet-portrait-one-pet,,,USD59.95,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2FModernPetPortraitfromPhotos5.jpg%3Fv%3D1744380319&feedId=103192&k=714a282a748ecf989dc0830fa98fac2d282ee75e,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836138&a=2861861&m=57823,Custom Modern Pet Portrait Mug - One Pet - 11oz / With Name,41585836138,6874363035734,https://crownandpaw.com/cdn/shop/files/CustomPetMugPortraitWhite4_500x.jpg?v=1736764871,Modern Pet Portrait Mug,Novelty Gifts,39.95,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2FCustomPetMugPortraitWhite4_500x.jpg%3Fv%3D1736764871&feedId=103192&k=ce2e40bc83491a95e45e8b85ac032431820dccdf,USD,,,https://crownandpaw.com/products/custom-modern-pet-portrait-mug,,,USD39.95,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2FCustomPetMugPortraitWhite4_500x.jpg%3Fv%3D1736764871&feedId=103192&k=ce2e40bc83491a95e45e8b85ac032431820dccdf,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836132&a=2861861&m=57823,Custom Vintage Style Pet T-Shirt - Unisex Regular T-shirt / Black / L,41585836132,7419433877590,https://crownandpaw.com/cdn/shop/files/682efa9d6e3b6_large_ec9cba0f-e12e-4c5d-95c5-959535ab1216_500x.webp?v=1747909356,Custom Vintage Style Pet Unisex T-shirt,Novelty Gifts,29.95,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2F682efa9d6e3b6_large_ec9cba0f-e12e-4c5d-95c5-959535ab1216_500x.webp%3Fv%3D1747909356&feedId=103192&k=eb91eaa017e4ed134091177708b36cdbbe910b4b,USD,,,https://crownandpaw.com/products/personalized-vintage-style-pet-t-shirt?variant=41788509061206,,,USD29.95,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2F682efa9d6e3b6_large_ec9cba0f-e12e-4c5d-95c5-959535ab1216_500x.webp%3Fv%3D1747909356&feedId=103192&k=eb91eaa017e4ed134091177708b36cdbbe910b4b,,,,,,,,,,,,,,,,,,,,,,,
https://www.awin1.com/pclick.php?p=41585836134&a=2861861&m=57823,Custom Pet Face Pattern Socks - Socks / Custom / One Size,41585836134,7431493681238,https://crownandpaw.com/cdn/shop/files/671a6a0a1ed62_large_c8d2b3fa-bdff-4fb5-b94a-548deb2abab4_500x.webp?v=1729784357,Pet Face Socks,Novelty Gifts,19.95,Crown and Paw,57823,Novelty Gifts,631,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2F671a6a0a1ed62_large_c8d2b3fa-bdff-4fb5-b94a-548deb2abab4_500x.webp%3Fv%3D1729784357&feedId=103192&k=8a661738b742f6325569164c6a3ed62b050fbaa5,USD,,,https://crownandpaw.com/products/personalized-custom-pet-face-pattern-socks,,,USD19.95,103192,Crown & Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acrownandpaw.com%2Fcdn%2Fshop%2Ffiles%2F671a6a0a1ed62_large_c8d2b3fa-bdff-4fb5-b94a-548deb2abab4_500x.webp%3Fv%3D1729784357&feedId=103192&k=8a661738b742f6325569164c6a3ed62b050fbaa5,,,,,,,,,,,,,,,,,,,,,,,
